"trip_id","start_time","stop_time","bike_id","trip_duration","from_station_id","from_station_name","to_station_id","to_station_name","user_type","gender","birth_year","from_latitude","from_longitude","from_location","to_latitude","to_longitude","to_location"
"25956344","2019-12-29T17:09:36.000","2019-12-29T17:17:30.000","2335","473","299","Halsted St & Roscoe St","231","Sheridan Rd & Montrose Ave","Customer",,,"41.94367","-87.64895","POINT (-87.64895 41.94367)","41.96167","-87.65464","POINT (-87.65464 41.96167)"
"25956336","2019-12-29T17:08:51.000","2019-12-29T17:30:17.000","5100","1285","6","Dusable Harbor","6","Dusable Harbor","Customer",,,"41.886976","-87.612813","POINT (-87.612813 41.886976)","41.886976","-87.612813","POINT (-87.612813 41.886976)"
"25956335","2019-12-29T17:08:39.000","2019-12-29T17:16:25.000","90","466","331","Halsted St & Clybourn Ave","182","Wells St & Elm St","Customer",,,"41.909668","-87.648128","POINT (-87.648128 41.909668)","41.903222","-87.634324","POINT (-87.634324 41.903222)"
"25956334","2019-12-29T17:08:33.000","2019-12-29T17:30:09.000","4907","1296","6","Dusable Harbor","6","Dusable Harbor","Customer",,,"41.886976","-87.612813","POINT (-87.612813 41.886976)","41.886976","-87.612813","POINT (-87.612813 41.886976)"
"25956333","2019-12-29T17:08:16.000","2019-12-29T17:48:48.000","3536","2432","3","Shedd Aquarium","35","Streeter Dr & Grand Ave","Customer",,,"41.867225957","-87.61535539","POINT (-87.6153553902 41.86722595682)","41.892278","-87.612043","POINT (-87.612043 41.892278)"
"25956328","2019-12-29T17:07:56.000","2019-12-29T18:19:46.000","1626","4310","72","Wabash Ave & 16th St","72","Wabash Ave & 16th St","Customer",,,"41.860384","-87.625813","POINT (-87.625813 41.860384)","41.860384","-87.625813","POINT (-87.625813 41.860384)"
"25956327","2019-12-29T17:07:45.000","2019-12-29T17:49:17.000","3910","2491","3","Shedd Aquarium","35","Streeter Dr & Grand Ave","Customer",,,"41.867225957","-87.61535539","POINT (-87.6153553902 41.86722595682)","41.892278","-87.612043","POINT (-87.612043 41.892278)"
"25956325","2019-12-29T17:07:42.000","2019-12-29T17:17:48.000","3563","605","181","LaSalle St & Illinois St","25","Michigan Ave & Pearson St","Customer","Male","1990","41.890762","-87.631697","POINT (-87.631697 41.890762)","41.89766","-87.62351","POINT (-87.62351 41.89766)"
"25956324","2019-12-29T17:07:37.000","2019-12-29T18:05:56.000","4910","3498","177","Theater on the Lake","639","Lakefront Trail & Wilson Ave","Customer",,,"41.926277","-87.630834","POINT (-87.630834 41.926277)","41.965845","-87.645361","POINT (-87.645361 41.965845)"
"25956321","2019-12-29T17:07:20.000","2019-12-29T18:06:03.000","6376","3523","177","Theater on the Lake","639","Lakefront Trail & Wilson Ave","Customer",,,"41.926277","-87.630834","POINT (-87.630834 41.926277)","41.965845","-87.645361","POINT (-87.645361 41.965845)"
